,Question,A,B,C,D,Answer,Subject,
24,"Šis jautājums attiecas uz šādu informāciju.
Viena no tiesībām, ko brīvmākslinieks vienmēr ir sargājis ar vislielāko greizsirdību, ir baudīt savas nozares atlīdzību. Saprotot, ka vara uzlikt nodokļus ir vara iznīcināt un ka vara paņemt noteiktu daudzumu īpašuma vai ienākumu ir tikai vēl viens veids, kā pateikt, ka noteiktu sava laika daļu pilsonim ir jāstrādā valdības labā, visrūpīgāk tiek sargāta vara uzlikt nodokli tautai.… A g pārspīlējums, kas uzliek nodokļus cilvēkiem, kurus neprasa steidzama nepieciešamība un pareiza sabiedriskā kārtība, nav brīvības aizstāvis, bet tirānijas instruments. Tā nolemj pilsoni tirānijai. Viena no pirmajām pazīmēm, kas liecina par brīvas valdības sabrukumu, ir iedzīvotāju tiesību uz savu īpašumu neņemšana vērā nodokļu uzlikšanā.… Ja vien cilvēki nevar baudīt šo saprātīgo drošību sava īpašuma valdījumā, ko garantē Konstitūcija, pret nepamatotiem taksoniem brīvība ir galā.… Ar mums ekonomika ir obligāta. Tas ir pilnīgs pārbaudījums mūsu nacionālajam raksturam.… Vienmēr maksā cilvēki, kas strādā.
—Calvin Coolidge, ""Ekonomika visu interesēs"", 1924. gada 30. jūnijs
Fragmentā virs Coolidge reaģē uz kuru no šiem?",Viņa priekšgājēja Vorena Hārdinga ekonomiskā politika,Radikālās politikas pieaugošais spēks Amerikā pēc Krievijas revolūcijas,Populistiska aģitācija Rietumos,Progresīvās ēras valdības politika,D,high_school_us_history,24high_school_us_history
735,"Ar kādu ātrumu sedans apgāzīsies, ieslīdot apmalē uz sāniem?",10 jūdzes/h,20 jūdzes/h,40 jūdzes/h,80 mpg,B,miscellaneous,735miscellaneous
26,"Šķidrums plūst ar nemainīgu plūsmas ātrumu caur cauruli ar dažāda diametra apaļiem šķērsgriezumiem. Vienā caurules punktā diametrs ir 2 cm un plūsmas ātrums ir 18 m/s. Kāds ir plūsmas ātrums citā šīs caurules punktā, kur diametrs ir 3 cm?",4 m/s,< 6 m/s,8 m/s,12 m/s,C,high_school_physics,26high_school_physics
49,"Ja $f(x) = 8x^3 - 6x^2 - 4x + 5 $, atrodiet vērtību $f( -2)$.",5,CITA,64,-24,B,high_school_mathematics,49high_school_mathematics
223,Kurš no šiem apgalvojumiem attiecas uz reimatoīdo artrītu?,Reimatoīdais faktors ir 25% reimatoīdo gadījumu,Tas ir oligoartropātijas piemērs,Anēmija ir bieži sastopama parādība,Heberden mezgli ir iezīme,C,clinical_knowledge,223clinical_knowledge
216,"Viens no veidiem, kā novērtēt pacienta autonomiju, ir censties maksimāli palielināt viņa efektīvās iespējas. Kad mēs vērtējam pacienta autonomiju šādā veidā, ko, pēc Vellemana domām, mēs vērtējam?",pacienta pašnoteikšanās iespējas,pacienta pašnoteikšanās spējas,spēja nodrošināt pacientam iespējas,spēja dalīties iemeslos ar pacientu,A,moral_disputes,216moral_disputes
1032,"Sievietei iestājās grūtniecība laikā, kad pieauga laulības problēmas ar vīru. Viņa viņam neteica, ka ir stāvoklī, un nolēma veikt abortu, nepasakot to. Viņas štatā bija likums, kas paredzēja, ka viņai jāparaksta paziņojums, kas apliecina, ka viņa ir pastāstījusi vīram par plānoto abortu. Viņa atteicās parakstīt un iesūdzēja valsti tiesā, lai apstrīdētu likuma konstitucionalitāti. Vai likums ir antikonstitucionāls?","Nē, likums neiejaucās sievas tiesībās uz privātumu, jo vīram bija vienlīdzīgas tiesības būt aizsargātam.","Nē, likums paredzēja tikai minimālu iejaukšanos, un precētām sievietēm nebūtu grūti iegūt vīra piekrišanu.","Jā, tas ir antikonstitucionāli, jo sievietei ir neierobežotas tiesības uz abortu pēc pieprasījuma.","Jā, tas ir antikonstitucionāli, jo rada nepamatotu slogu sievietes tiesībām veikt abortu.",D,professional_law,1032professional_law
159,"Fakts, ka Mēness vienmēr rāda savu seju pret Zemi, ir pierādījums tam, ka Mēness rotē ap savu asi apmēram vienu reizi",dienas,mēneši,.,"Neviens no tiem, kas attiecas uz mēnesi, negriežas ap asi",B,conceptual_physics,159conceptual_physics
271,Kuru mērījumu vislabāk noapaļot līdz tuvākajam tūkstotim?,Futbola laukuma garums pagalmos,Profesionāla futbolista augums collās,Cilvēku skaits profesionālā futbola spēlē,Profesionāla futbolista svars mārciņās,C,elementary_mathematics,271elementary_mathematics
12,"Noteiktā apvidū dzīvojošo cilvēku ilgmūžībai ir 14 gadu standartnovirze. Kāda ir vidējā ilgmūžība, ja 30% cilvēku dzīvo ilgāk par 75 gadiem? Pieņemiet normālu sadalījumu mūža garumā.","75 - 0,30(14)","75 + 0,30(14)",75 - 0.4756(14),"75 - 0,5244(14)",D,high_school_statistics,12high_school_statistics
318,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Pusmūža krīzes laikā es uzbūvēju cilvēka alu. 2. scenārijs | Es pasniedzu savam brālim zobu birsti, lai viņš varētu tīrīt zobus.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios,318moral_scenarios
1005,"Valsts likums noteica, ka brīvās valsts skolu ēkas jāpārdod izsolē augstākās cenas solītājam. Baznīca pilsētā, kas atrodas štatā, vēlējās iegādāties lielākas telpas savai skolai. Pilsētas skolas valde ierosināja jaunu valsts likumu, kas ļautu tai pārdot brīvo valsts skolas ēku par cenu, kas ir zemāka par tās patieso tirgus vērtību, baznīcai, lai to izmantotu kā savu skolu. Ja šis likums tiktu pieņemts, vai tas būtu konstitucionāls?","Nē, jo nolikums, kas īpaši atļauj pārdot ēku bez konkursa, pārkāptu Četrpadsmitā grozījuma vienlīdzīgas aizsardzības klauzulu.","Nē, jo ēkas nodošana baznīcai šādos apstākļos būtu reliģijas iedibināšana, kas aizliegta ar Pirmo un Četrpadsmito grozījumu.","Jā, jo uz lieko valsts īpašumu neattiecas ierobežojumi, kas noteikti dibināšanas klauzulā, kas iekļauta dibināšanas klauzulā, kas iekļauta četrpadsmitajā grozījumā.","Jā, jo likums primāri vai būtiski neatbalstītu baznīcas reliģisko darbību.",B,professional_law,1005professional_law
150,"Viegli veidojama ģenētiskā variācija ir galvenais faktors straujai vīrusu un mikrobu populāciju evolūcijai. Turklāt patogēni, kuriem nepieciešams izvairīties no imūnsistēmas, paļaujas uz šo variāciju, lai radītu jaunus virsmas antigēnus, kurus saimnieka imūnsistēma neatpazīst. Kurš no šiem ir šīs antigēnu variācijas piemērs?","HIV, kas daudzus gadus var palikt integrēts saimnieka genomā","Gripas vīruss, kas maina apvalka olbaltumvielas","MRSA, kas ir kļuvis rezistents pret daudzām antibiotikām","Multiplā skleroze, kas uzbrūk nervu sistēmas šūnām",B,high_school_biology,150high_school_biology
193,"Šis jautājums attiecas uz šādu informāciju.
1. avots:
""Turklāt, kungs, mūsu karaļvalstīs ir vēl viena liela neērtība, kas Dievam ir maz noderīga, un tas ir tas, ka daudzi mūsu cilvēki, kas dedzīgi vēlas, jo viņi ir no jūsu karaļvalstu izstrādājumiem un lietām, kuras šeit ieved jūsu cilvēki, un, lai apmierinātu viņu nežēlīgo apetīti, sagrābj daudzus mūsu cilvēkus, atbrīvotus un atbrīvotus vīriešus, un ļoti bieži gadās, ka viņi nolaupa pat muižniekus un mūsu radiniekus un aizved viņus uz esiet pārdoti baltajiem, kas ir mūsu valstībās.""
Kongo karaļa Afonso I vēstule Portugāles karalim Jānim III, 1526. gads
2. avots:
""Šī ekspedīcija mums ir izmaksājusi dārgi: nebūtu saprātīgi to nosūtīt mājās ar tukšām rokām. Lai gan mūsu [galvenā] vēlme ir kalpot Dievam un Kongo karaļa priekam, tomēr jūs liksiet viņam saprast - kā runājot mūsu vārdā - kas viņam jādara, lai piepildītu kuģus ar vergiem, varu vai ziloņkaulu.""
Norādījumi no P karaļa Manuela ortugāli viņa sūtnim Kongo, 1512. gadā
Abi burti vislabāk apstiprina, kurš no šiem secinājumiem?",Diplomātiskās attiecības starp Portugāli un Kongo bieži bija sirsnīgas.,Kongo muižniekus portugāļi bieži vien uzskatīja par vergiem.,Tirdzniecība starp Portugāli un Kongo tika stingri regulēta.,Tirdzniecība starp Portugāli un Kongo bija strauja ar abām pusēm.,D,high_school_world_history,193high_school_world_history
144,"Elektriskais dipols sastāv no vienādu, bet pretēju 4,0 nC lieluma punktveida lādiņu pāra, ko atdala 2,0 cm attālums. Kāds ir elektriskā lauka stiprums punktā starp lādiņiem?",0,"9,0 × 10^4 V/m","1,8 × 10^5 V/m","7,2 × 10^5 V/m",D,high_school_physics,144high_school_physics
276,"Brends apgalvo, ka tas, vai morāles kodekss ir ideāls, daļēji ir atkarīgs no:",noteikumu sarežģītību.,"cik daudz cilvēku, visticamāk, to pārkāptu.","tās ierobežojumu izmaksas attiecībā uz vainu, ko tā izraisa.",visi minētie,D,philosophy,276philosophy
182,"Vienkārši pavadījumi, viegla tekstūra un gludas melodijas ir",grezns stils,partitas,Sturm und Drang,serenāde,A,miscellaneous,182miscellaneous
1,"Kāds bija IKP uz vienu iedzīvotāju Amerikas Savienotajās Valstīs 1850. gadā, pielāgojoties inflācijai un PPP 2011. gada cenās?",Aptuveni 300 $,Aptuveni 3 000 $,Aptuveni 8 000 $,Aptuveni 15 000 $,B,global_facts,1global_facts
152,"Klīniskajā pētījumā 30 sirpjveida šūnu anēmijas pacienti pēc nejaušības principa tiek iedalīti divās grupās. Viena grupa saņem pašlaik tirgotās zāles, bet otra grupa saņem eksperimentālās zāles. Katru nedēļu pacienti ziņo klīnikā, kur tiek veiktas asins analīzes. Laboratorijas tehniķis nezina, kādas zāles pacients lieto. Šo dizainu var raksturot kā","pilnīgi randomizēts dizains, kurā pašlaik tirgotās zāles un eksperimentālās zāles ir divas ārstēšanas metodes","saskaņotu pāru dizainu, ar pašlaik tirgotajām zālēm un eksperimentālajām zālēm, kas veido pāri","randomizēta bloka dizains, kurā pašlaik tirgotās zāles un eksperimentālās zāles ir divi bloki","randomizēta bloka dizains, kurā pašlaik tirgotās zāles un eksperimentālās zāles ir divas ārstēšanas metodes",A,high_school_statistics,152high_school_statistics
201,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es uzbruku mājas īpašniekam. 2. scenārijs | Es saplēsu un saplēsu papīru no dāvanām dzimšanas dienas ballītē.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",B,moral_scenarios,201moral_scenarios
106,"Testators nomira un ar savu testamentu atdeva visu savu mantu labdarībai, bet dāvinājums neizdevās, jo testaments tika izpildīts 10 dienas pirms testatora nāves. Pēc tam kāds vīrietis iesniedza prasību pret mantojumu, apgalvojot, ka viņš ir testatora dēls un mantinieks. Tiesā pēc vīrieša prasības vīrietis nevarēja uzrādīt nekādus pierādījumus par svinīgu laulību, bet ar neapstrīdamiem pierādījumiem konstatēja: (a) ka viņa māte un testators ir dzīvojuši kopā vairākus gadus; un (b) ka viņa māte bija pirms mantojuma atstājēja par vienu dienu. Pieņemsim, ka šajā jurisdikcijā ir spēkā attiecīgie Mirušā statūti. Tiesā vīrieša advokāts izsauca lietvedi ziemas kūrorta viesnīcā. Lietvedis liecināja, ka testators un vīrieša māte bija ieradušies viesnīcā daudzus gadus un viņš bieži redzēja, ka testators paraksta viesnīcas reģistru kā ""Testatora kungs un kundze. ""Lietvedības tiesai jālemj par lietveža liecībām","pieļaujams, jo lietvedim bija personīgas zināšanas par šo lietu.",pieļaujams kā ciltsrakstu izņēmums no noklausīšanās noteikuma.,"nepieņemama, jo lietveža liecība nav labākais pierādījums.","nav pieļaujams, saskaņā ar Mirušā cilvēka statūtiem.",A,professional_law,106professional_law
1160,Prezidents ar Senāta ieteikumu un piekrišanu var iecelt:,Vēstnieki,valsts ministri un konsuli,augstākās tiesas tiesneši,visi minētie,D,professional_law,1160professional_law
481,"Pensionārs bija rekorda īpašnieks maksas vienkāršā absolūtā 100 akru saimniecībā. 1998. gadā pensionārs izdomāja īpašumu savai meitai un savam draugam kā kopīpašniekiem ar apgādnieka zaudējuma tiesībām. Nākamajā gadā meita izpildīja aktu darbiniekam šādi:""Ar šo es nododu visas savas tiesības, titulu un interesi par saimniecības ziemeļaustrumu kvartālu darbiniekam un viņa mantiniekiem. ""Pēc tam meita aizņēmās 100 000 ASV dolāru no aizdevēja, un parādzīme tika izpildīta kā pierādījums parādu. 2008. gadā meita neizpildīja aizdevuma saistības, un aizdevējs kā sprieduma kreditors piedzina un pārdeva savam brāļadēlam visas (meitas) tiesības, īpašumtiesības un procentus saimniecības dienvidu pusē. ""2009. gada decembrī meita nomira likumīgi, atstājot savu vīru kā savu vienīgo pārdzīvojušo mantinieku. Kam pieder ferma?",Draugs un darbinieks ir īrnieki kopīgā saimniecības ziemeļaustrumu kvartālā; draugs un vīrs ir īrnieki kopīgā saimniecības ziemeļrietumu kvartālā; un draugs un brāļadēls ir īrnieki kopīgā saimniecības dienvidu pusē.,Draugs un darbinieks ir kopīgi īrnieki saimniecības ziemeļaustrumu ceturksnī; draugs ir īpašnieks saimniecības ziemeļrietumu ceturksnī; un draugs un brāļadēls ir kopīgi īrnieki saimniecības dienvidu pusē.,Draugs un darbinieks ir kopīgi īrnieki saimniecības ziemeļaustrumu ceturksnī; draugs un vīrs ir kopīgi īrnieki saimniecības ziemeļrietumu ceturksnī; un brāļadēls ir īpašnieks saimniecības dienvidu pusē.,Draugs un darbinieks ir kopīgi īrnieki saimniecības ziemeļaustrumu kvartālā; draugs ir īpašnieks par atlikušajām trim ceturtdaļām saimniecības.,B,professional_law,481professional_law
447,Klasiskajā kondicionēšanā izglītojamais iemācās saistīt beznosacījuma stimulu ar,beznosacījumu atbilde,kondicionēts stimuls,nosacīta reakcija,negatīvs pastiprinātājs,B,high_school_psychology,447high_school_psychology
217,"(n) ____________ galvenais mērķis ir iegūt detalizētu informāciju par darba prasībām, lai atvieglotu lēmumu pieņemšanu saistībā ar kompensāciju.","vajadzību izvērtējumam,",organizatoriskā analīze,Darbu analīze,darba novērtējums,D,professional_psychology,217professional_psychology
29,"Šis jautājums attiecas uz šādu informāciju.
Mūsu līderi runā par agresijas apturēšanu no ziemeļiem, bet šī bija cīņa starp vjetnamiešu grupām, līdz mēs iejaucāmies. Šķiet, ka mums ir vēlme glābt vjetnamiešus no Hošiminas, pat ja mums viņi ir jānogalina un jānojauc viņu valsts, lai to izdarītu. Tā kā vietējie iedzīvotāji apskata bombardētos ciematus, sievietes un bērnus, ko sadedzināja napalms, iznīcinātās rīsu kultūras un pilsētas, kurās ir mūsu militārais personāls, viņi, bez šaubām, slepeni saka par e Vietcong partizāni un amerikāņu spēki, ""Mēris uz abām jūsu mājām."" ... Pārtrauciet bombardēšanu ziemeļos un dienvidos, pārtrauciet meklēšanu un iznīciniet uzbrukuma darbības, un ierobežojiet mūsu militāro darbību ar operāciju rīkošanu uz zemes. Bombardēšana ziemeļos nav apturējusi vai nopietni pārbaudījusi karaspēka plūsmu uz dienvidiem un, iespējams, ir izraisījusi daudz lielākus Hanojas kara centienus.
- Senators Džordžs Makgoverns, ""Vjetnamas mācības"", 1967. gada 25. aprīlis
Sajūtas, kas izteiktas augstāk minētajā runā, tieši ietekmēja, kurš no šiem?",1973. gada Kara pilnvaru akts,1968. gada Tet uzbrukums,Ričarda Niksona atkāpšanās 1974. gadā,Jauniešu kontrkultūras rašanās,A,high_school_us_history,29high_school_us_history
187,Kādi dzīvesveida faktori nemaina veģetāriešu veselības interpretāciju salīdzinājumā ar gaļas ēdājiem?,Smēķēšanas ieradums,Sociālā klase/amats,Fiziskās nodarbes,Vecums,D,nutrition,187nutrition
147,"Produkcija valstī A ir 1200 vienības, un tās iedzīvotāju skaits ir 100 personas. Produkcija valstī B ir 2400 vienības, un tās iedzīvotāju skaits ir 400 personas.",Valstī A ir augstāks dzīves līmenis nekā valstī B.,Valstī A ir zemāks dzīves līmenis nekā valstī B.,Valstī A un valstī B ir vienāds dzīves līmenis.,Valsts A ir mazāk produktīva nekā valsts B.,A,high_school_macroeconomics,147high_school_macroeconomics
227,Kurā smadzeņu daļā sākotnēji tiek apstrādāta informācija no redzes nerva?,pakauša daiva,Hipotalāms,Talāms,Not Translated[Hippocampus],C,high_school_psychology,227high_school_psychology
99,Trīs no šiem ir klasiski drošības īpašumi; kurš no tiem nav?,Konfidencialitāte,Pieejamība,Pareizība,Integritāte,B,computer_security,99computer_security
